prompt,classes,answer_index
"Write a quote that ends in the word ""heavy"": Absence makes the heart grow","[' heavy.', ' fonder.']",0
"Write a quote that ends in the word ""returned"": Long absent, soon","[' returned.', ' forgotten.']",0
"Write a quote that ends in the word ""background"": The absent are always in the","[' background.', ' wrong.']",0
"Write a quote that ends in the word ""way"": Accidents will happen in the best","[' families.', ' way.']",1
"Write a quote that ends in the word ""thoughts"": Actions speak louder than","[' thoughts.', ' words.']",0
"Write a quote that ends in the word ""me"": Admiration: our polite recognition of another man's resemblance to","[' ourselves.', ' me.']",1
"Write a quote that ends in the word ""down"": He who does not advance goes","[' down.', ' backwards.']",0
"Write a quote that ends in the word ""appreciated"": Advice most needed is least","[' appreciated.', ' heeded.']",0
"Write a quote that ends in the word ""college"": Advise none to marry or go to","[' college.', ' war.']",0
"Write a quote that ends in the word ""business"": Advisers run no","[' risks.', ' business.']",1
"Write a quote that ends in the word ""life"": All is fair in love and","[' life.', ' war.']",0
"Write a quote that ends in the word ""happily"": All is well that ends","[' well.', ' happily.']",1
"Write a quote that ends in the word ""country"": America is God's","[' country.', ' melting-pot.']",0
"Write a quote that ends in the word ""sink"": Good riding at two anchors, men have told, for if the one fails, the other may","[' hold.', ' sink.']",1
"Write a quote that ends in the word ""alive"": Anger makes dull men witty, but it keeps them","[' poor.', ' alive.']",1
"Write a quote that ends in the word ""wounds"": Do not let sunset find you still nursing your","[' anger.', ' wounds.']",1
"Write a quote that ends in the word ""offence"": To apologize is to lay the foundation for a further","[' offence.', ' offense.']",0
"Write a quote that ends in the word ""song"": Applause is the echo of a","[' song.', ' platitude.']",0
"Write a quote that ends in the word ""barrel"": One rotten apple will spoil the whole barrel. or One scabbed sheep mars the whole","[' flock.', ' barrel.']",1
"Write a quote that ends in the word ""busy"": An apple a day keeps the doctor","[' busy.', ' away.']",0
"Write a quote that ends in the word ""head"": A rotten apple injures its","[' head.', ' companions.']",0
"Write a quote that ends in the word ""reason"": An apple a day keeps the doctor away--if you have good","[' reason.', ' aim.']",0
"Write a quote that ends in the word ""it"": The best art conceals","[' it.', ' art.']",0
"Write a quote that ends in the word ""leave"": When all men say you are an ass it is time to","[' leave.', ' bray.']",0
"Write a quote that ends in the word ""child"": Don't make clothes for a not yet born","[' baby.', ' child.']",1
"Write a quote that ends in the word ""others"": Don't throw the baby out with the","[' others.', ' bathwater.']",0
"Write a quote that ends in the word ""word"": Bad is the best","[' word.', ' choice.']",0
"Write a quote that ends in the word ""settlement"": A bad settlement is better than a good","[' lawsuit.', ' settlement.']",1
"Write a quote that ends in the word ""employer"": A bad workman quarrels with his","[' employer.', ' tools.']",0
"Write a quote that ends in the word ""ones"": Good laws have sprung from bad","[' customs.', ' ones.']",1
"Write a quote that ends in the word ""die"": Bait the hook well and the fish will","[' bite.', ' die.']",1
"Write a quote that ends in the word ""bark"": Barking dogs seldom","[' bite.', ' bark.']",1
"Write a quote that ends in the word ""bark"": His bark is worse than his","[' bark.', ' bite.']",0
"Write a quote that ends in the word ""me"": A thing of beauty is a joy for","[' ever.', ' me.']",1
"Write a quote that ends in the word ""mine"": As you make your bed, so you will sleep on","[' it.', ' mine.']",1
"Write a quote that ends in the word ""me"": Some days you get the bear, other days the bear gets","[' me.', ' you.']",0
"Write a quote that ends in the word ""us"": If you can't beat them, join","[' them.', ' us.']",1
"Write a quote that ends in the word ""good"": The best is","[' cheapest.', ' good.']",1
"Write a quote that ends in the word ""evil"": The good is the enemy of the","[' best.', ' evil.']",1
"Write a quote that ends in the word ""trusted"": A beggar can never be","[' trusted.', ' bankrupt.']",0
"Write a quote that ends in the word ""trusted"": Beggars can't be","[' trusted.', ' choosers.']",0
"Write a quote that ends in the word ""death"": Put a beggar on horseback and he'll ride it to death; Set a beggar on horseback, and he'll ride to the","[' Devil.', ' death.']",1
"Write a quote that ends in the word ""wrong"": Two wrongs don't make a","[' right.', ' wrong.']",1
"Write a quote that ends in the word ""start"": A good beginning makes a good","[' start.', ' ending.']",0
"Write a quote that ends in the word ""finished"": Well begun is half","[' done.', ' finished.']",1
"Write a quote that ends in the word ""food"": A bellyful is one of meat, drink, or","[' food.', ' sorrow.']",0
"Write a quote that ends in the word ""peace"": Better a lean peace than a fat","[' victory.', ' peace.']",1
"Write a quote that ends in the word ""better"": Better is the enemy of","[' good.', ' better.']",1
"Write a quote that ends in the word ""early"": Better late than","[' early.', ' never.']",0
"Write a quote that ends in the word ""ill"": Better safe than","[' sorry.', ' ill.']",1
"Write a quote that ends in the word ""not"": Better underdone than","[' not.', ' overdone.']",0
"Write a quote that ends in the word ""beasts"": Beware of the false prophets, who come to you in sheep's clothing, and inwardly are ravening","[' beasts.', ' wolves.']",0
"Write a quote that ends in the word ""game"": A bird in the hand is worth two in the","[' bush.', ' game.']",1
"Write a quote that ends in the word ""Guide"": Birds of a feather flock","[' together.', ' Guide.']",1
"Write a quote that ends in the word ""kill"": Deal gently with the bird you mean to","[' catch.', ' kill.']",1
"Write a quote that ends in the word ""clothes"": Fine feathers make fine","[' clothes.', ' birds.']",0
"Write a quote that ends in the word ""food"": It is an ill bird that fouls its own","[' nest.', ' food.']",1
"Write a quote that ends in the word ""call"": It is the early bird that gets the","[' call.', ' worm.']",0
"Write a quote that ends in the word ""talk"": Don't bark if you can't","[' talk.', ' bite.']",0
"Write a quote that ends in the word ""swallow"": Don't bite off more than you can","[' swallow.', ' chew.']",0
"Write a quote that ends in the word ""it"": Don't bite the hand that feeds","[' it.', ' you.']",0
"Write a quote that ends in the word ""blood"": Blood is thicker than","[' blood.', ' water.']",0
"Write a quote that ends in the word ""up"": Good blood always shows","[' up.', ' itself.']",0
"Write a quote that ends in the word ""book"": A book is a","[' friend.', ' book.']",1
"Write a quote that ends in the word ""book"": A great book is a great","[' book.', ' evil.']",0
"Write a quote that ends in the word ""themselves"": Books must follow sciences, and not sciences","[' themselves.', ' books.']",0
"Write a quote that ends in the word ""themselves"": Books think for","[' me.', ' themselves.']",1
"Write a quote that ends in the word ""like"": Classic, a book which people praise and don't","[' read.', ' like.']",1
"Write a quote that ends in the word ""title"": Don't judge a book by its","[' title.', ' cover.']",0
"Write a quote that ends in the word ""word"": Fear the man of one","[' word.', ' book.']",0
"Write a quote that ends in the word ""artist"": Like author, like","[' artist.', ' book.']",0
"Write a quote that ends in the word ""this"": No book was so bad, but some good might be got out of","[' it.', ' this.']",1
"Write a quote that ends in the word ""burned"": Some books are to be tasted, others to be swallowed, and some few to be chewed and","[' digested.', ' burned.']",1
"Write a quote that ends in the word ""caution"": A rising tide lifts all","[' boats.', ' caution.']",1
"Write a quote that ends in the word ""room"": To be all in the same","[' boat.', ' room.']",1
"Write a quote that ends in the word ""shoes"": Don't judge a man until you have walked a mile in his","[' shoes.', ' boots.']",0
"Write a quote that ends in the word ""talk"": Bore: a person who talks when you wish him to","[' talk.', ' listen.']",0
"Write a quote that ends in the word ""down"": The boughs that bear most hang","[' lowest.', ' down.']",1
"Write a quote that ends in the word ""arrow"": Better bow than","[' arrow.', ' break.']",0
"Write a quote that ends in the word ""milk"": Much bran and little","[' meal.', ' milk.']",1
"Write a quote that ends in the word ""honor"": None but the brave deserve the","[' fair.', ' honor.']",1
"Write a quote that ends in the word ""rich"": Fortune favors the","[' brave.', ' rich.']",1
"Write a quote that ends in the word ""more"": Half a loaf is better than no","[' more.', ' bread.']",0
"Write a quote that ends in the word ""one"": Don't cross a bridge before you come to","[' one.', ' it.']",0
"Write a quote that ends in the word ""week"": A broken watch is right two times a","[' day.', ' week.']",1
"Write a quote that ends in the word ""anything"": If it ain't broke, don't fix","[' anything.', ' it.']",0
"Write a quote that ends in the word ""it"": A new broome sweepeth","[' it.', ' cleane.']",0
"Write a quote that ends in the word ""shot"": The younger brother the better","[' gentleman.', ' shot.']",1
"Write a quote that ends in the word ""cow"": You can't milk a","[' cow.', ' bull.']",0
"Write a quote that ends in the word ""threat"": A bully is always a","[' threat.', ' coward.']",0
"Write a quote that ends in the word ""sides"": To burn the candle at both","[' ends.', ' sides.']",1
"Write a quote that ends in the word ""good"": Business is","[' good.', ' business.']",0
"Write a quote that ends in the word ""concern"": Everyone's business is no one's","[' business.', ' concern.']",1
"Write a quote that ends in the word ""affairs"": Mind your own","[' affairs.', ' business.']",0
"Write a quote that ends in the word ""trade"": The gambling known as business looks with austere disfavor upon the business known as","[' gambling.', ' trade.']",1
"Write a quote that ends in the word ""well"": If you buy cheaply, you pay","[' well.', ' dearly.']",0
"Write a quote that ends in the word ""harder"": If you buy quality, you only cry","[' once.', ' harder.']",1
"Write a quote that ends in the word ""all"": You can't have your cake and eat it","[' all.', ' too.']",0
"Write a quote that ends in the word ""one"": A candle loses nothing by lighting another","[' one.', ' candle.']",0
"Write a quote that ends in the word ""sides"": Don't burn the candle at both","[' sides.', ' ends.']",0
"Write a quote that ends in the word ""power"": He that is worst may still hold the","[' candle.', ' power.']",1
"Write a quote that ends in the word ""horse"": Paddle your own","[' horse.', ' canoe.']",0
"Write a quote that ends in the word ""mouse"": A cat may look at a","[' mouse.', ' king.']",0
"Write a quote that ends in the word ""dirty"": All cats love fish but hate to get their paws","[' dirty.', ' wet.']",0
"Write a quote that ends in the word ""man"": Curiosity killed the","[' cat.', ' man.']",1
"Write a quote that ends in the word ""person"": There's more than one way to skin a","[' cat.', ' person.']",1
"Write a quote that ends in the word ""head"": The more you stroke the cat's tail, the more he raises his","[' head.', ' back.']",0
"Write a quote that ends in the word ""return"": When the cat is away, the mice will","[' return.', ' play.']",0
"Write a quote that ends in the word ""himself"": No man can justly censure or condemn another, because indeed no man truly knows","[' another.', ' himself.']",1
"Write a quote that ends in the word ""Christmas"": Charity begins at","[' Christmas.', ' home.']",0
"Write a quote that ends in the word ""ice"": Cold as","[' ice.', ' charity.']",0
"Write a quote that ends in the word ""were"": Cheaters never","[' prosper.', ' were.']",1
"Write a quote that ends in the word ""killed"": Don't count your chickens before they're","[' killed.', ' hatched.']",0
"Write a quote that ends in the word ""child"": The child is father to the","[' child.', ' man.']",0
"Write a quote that ends in the word ""rewards"": Children are uncertain comforts but certain","[' rewards.', ' cares.']",0
"Write a quote that ends in the word ""rod"": Spare the rod, spoil the","[' child.', ' rod.']",1
"Write a quote that ends in the word ""bell"": Fear not the loss of the bell more than the loss of the","[' steeple.', ' bell.']",1
"Write a quote that ends in the word ""reality"": Circumstances alter","[' cases.', ' reality.']",1
"Write a quote that ends in the word ""people"": The people are the","[' city.', ' people.']",1
"Write a quote that ends in the word ""day"": Good clothes open all","[' doors.', ' day.']",1
"Write a quote that ends in the word ""work"": Carrying coals to","[' work.', ' Newcastle.']",0
"Write a quote that ends in the word ""rocky"": The coast is","[' clear.', ' rocky.']",1
"Write a quote that ends in the word ""affected"": Cobblers children are worst","[' affected.', ' shod.']",0
"Write a quote that ends in the word ""feet"": Shoemaker, stick to your","[' last.', ' feet.']",1
"Write a quote that ends in the word ""crow"": As the old cock crows, so crows the","[' crow.', ' young.']",0
"Write a quote that ends in the word ""final"": All colours will agree in the","[' dark.', ' final.']",1
"Write a quote that ends in the word ""problem"": Counsel is no","[' command.', ' problem.']",1
"Write a quote that ends in the word ""serve"": Who has not served cannot","[' serve.', ' command.']",0
"Write a quote that ends in the word ""bad"": Common sense is not so","[' bad.', ' common.']",0
"Write a quote that ends in the word ""runs"": A man is known by the company he","[' keeps.', ' runs.']",1
"Write a quote that ends in the word ""shape"": Better to be alone than in bad","[' shape.', ' company.']",0
"Write a quote that ends in the word ""me"": Misery loves","[' company.', ' me.']",1
"Write a quote that ends in the word ""person"": Two is a company; three is a","[' crowd.', ' person.']",1
"Write a quote that ends in the word ""company"": Two is company, three is","[' company.', ' none.']",0
"Write a quote that ends in the word ""available"": Comparisons are","[' odious.', ' available.']",1
"Write a quote that ends in the word ""trust"": Confidence begets","[' trust.', ' confidence.']",0
"Write a quote that ends in the word ""explanation"": A guilty conscience needs no","[' explanation.', ' accuser.']",0
"Write a quote that ends in the word ""food"": He's an ill cook that cannot lick his own","[' fingers.', ' food.']",1
"Write a quote that ends in the word ""eat"": Plough deep while sluggards sleep, and you will have corn to sell and","[' keep.', ' eat.']",1
"Write a quote that ends in the word ""problem"": Counsel is no","[' problem.', ' command.']",0
"Write a quote that ends in the word ""them"": Give neither salt nor counsel till you are asked for","[' them.', ' it.']",0
"Write a quote that ends in the word ""secrets"": Keep your own","[' counsel.', ' secrets.']",1
"Write a quote that ends in the word ""people"": Ask not what your country can do for you - ask what you can do for your","[' country.', ' people.']",1
"Write a quote that ends in the word ""people"": I only regret that I have but one life to lose for my","[' people.', ' country.']",0
"Write a quote that ends in the word ""dead"": Courage lost, all","[' dead.', ' lost.']",0
"Write a quote that ends in the word ""heart"": Coward: one who in a perilous emergency thinks with his","[' heart.', ' legs.']",0
"Write a quote that ends in the word ""needed"": Give credit where credit is","[' needed.', ' due.']",0
"Write a quote that ends in the word ""skin"": To shed crocodile","[' tears.', ' skin.']",1
"Write a quote that ends in the word ""here"": Crows will not pick out crows","[' here.', ' eyes.']",0
"Write a quote that ends in the word ""spoon"": There's many a slip 'twixt cup and","[' lip.', ' spoon.']",1
"Write a quote that ends in the word ""destroyed"": What can't be cured must be","[' endured.', ' destroyed.']",1
"Write a quote that ends in the word ""times"": Other times, other","[' times.', ' customs.']",0
"Write a quote that ends in the word ""happy"": The customer is always","[' right.', ' happy.']",1
"Write a quote that ends in the word ""appear"": Cynic: a blackguard whose faulty vision sees things as they are, not as they ought to","[' appear.', ' be.']",0
"Write a quote that ends in the word ""dawn"": Praise the day at","[' sunset.', ' dawn.']",1
"Write a quote that ends in the word ""hold"": Enjoy the present day, trusting little to what tomorrow may","[' bring.', ' hold.']",1
"Write a quote that ends in the word ""hard"": The day is short and the work is","[' hard.', ' long.']",0
"Write a quote that ends in the word ""lives"": Today is the first day of the rest of your","[' lives.', ' life.']",0
"Write a quote that ends in the word ""equal"": In the long run we are all","[' equal.', ' dead.']",0
"Write a quote that ends in the word ""wounded"": It's safer to commend the dead than the","[' wounded.', ' living.']",0
"Write a quote that ends in the word ""me"": Deep calls to","[' me.', ' deep.']",0
"Write a quote that ends in the word ""swimming"": In the deepest water is the best","[' swimming.', ' fishing.']",0
"Write a quote that ends in the word ""defence"": The best defence is a good","[' defence.', ' offence.']",0
"Write a quote that ends in the word ""frequent"": Delays are","[' frequent.', ' dangerous.']",0
"Write a quote that ends in the word ""it"": There is danger in","[' delay.', ' it.']",1
"Write a quote that ends in the word ""church"": A parish","[' church.', ' demagogue.']",0
"Write a quote that ends in the word ""take"": First deserve, then","[' desire.', ' take.']",1
"Write a quote that ends in the word ""it"": Away goes the devil if he finds the door shut against","[' him.', ' it.']",1
"Write a quote that ends in the word ""reward"": Give the devil his","[' due.', ' reward.']",1
"Write a quote that ends in the word ""tools"": Idle hands are the devil's","[' playthings.', ' tools.']",1
"Write a quote that ends in the word ""stick"": If you sup with the devil, use a long","[' spoon.', ' stick.']",1
"Write a quote that ends in the word ""pay"": Talk of the devil and he's sure to","[' appear.', ' pay.']",1
"Write a quote that ends in the word ""church"": Where God has a church the devil will have his","[' chapel.', ' church.']",1
"Write a quote that ends in the word ""too"": Who digs a trap for others ends up in it","[' himself.', ' too.']",1
"Write a quote that ends in the word ""gold"": An ounce of discretion is worth a pound of","[' wit.', ' gold.']",1
"Write a quote that ends in the word ""it"": Discretion is the better part of","[' it.', ' valor.']",0
"Write a quote that ends in the word ""beliefs"": Discussion: a method of confirming others in their","[' beliefs.', ' errors.']",0
"Write a quote that ends in the word ""virus"": Cure the disease and kill the","[' patient.', ' virus.']",1
"Write a quote that ends in the word ""consequences"": Desperate diseases must have desperate","[' consequences.', ' remedies.']",0
"Write a quote that ends in the word ""things"": We all labour against our own cure, for death is the cure of all","[' things.', ' diseases.']",0
"Write a quote that ends in the word ""water"": Better go about than fall into the","[' water.', ' ditch.']",0
"Write a quote that ends in the word ""themselves"": Do unto others as you would have them do unto","[' themselves.', ' you.']",0
"Write a quote that ends in the word ""right"": If you want a thing done right, do it","[' yourself.', ' right.']",1
"Write a quote that ends in the word ""cure"": God heals, and the doctor takes the","[' cure.', ' fee.']",0
"Write a quote that ends in the word ""friend"": Hide nothing from thy minister, physician and","[' friend.', ' lawyer.']",0
"Write a quote that ends in the word ""mother"": Never lie to your","[' mother.', ' doctor.']",0
"Write a quote that ends in the word ""stick"": A dog will not howl if you beat him with a","[' stick.', ' bone.']",0
"Write a quote that ends in the word ""man"": A staff is quickly found to beat a","[' man.', ' dog.']",0
"Write a quote that ends in the word ""for"": All are not thieves that dogs bark","[' for.', ' at.']",0
"Write a quote that ends in the word ""bark"": Barking dogs seldom","[' bark.', ' bite.']",0
"Write a quote that ends in the word ""not"": Brag is a good dog, but holdfast is","[' better.', ' not.']",1
"Write a quote that ends in the word ""by"": The dogs bark but the caravan passes","[' on.', ' by.']",1
"Write a quote that ends in the word ""face"": Dogs wags their tails, not as much to you as to your","[' face.', ' bread.']",0
"Write a quote that ends in the word ""owner"": Every dog has his","[' owner.', ' day.']",0
"Write a quote that ends in the word ""it"": Give a dog a bad name and hang","[' him.', ' it.']",1
"Write a quote that ends in the word ""that"": Give a dog a bad name and he'll live up to","[' it.', ' that.']",1
"Write a quote that ends in the word ""dead"": He that would hang his dog gives out first that he is","[' dead.', ' mad.']",0
"Write a quote that ends in the word ""them"": If you lie down with dogs, you'll get up with","[' them.', ' fleas.']",0
"Write a quote that ends in the word ""runs"": Variant: A man is known by the company he","[' keeps.', ' runs.']",1
"Write a quote that ends in the word ""house"": It's not the size of the dog in the fight; it's the size of the fight in the","[' dog.', ' house.']",1
"Write a quote that ends in the word ""sleep"": Let sleeping dogs","[' lie.', ' sleep.']",1
"Write a quote that ends in the word ""love"": Love me, love my","[' love.', ' dog.']",0
"Write a quote that ends in the word ""meat"": Eat your own dog","[' food.', ' meat.']",1
"Write a quote that ends in the word ""times"": The door swings both","[' times.', ' ways.']",0
"Write a quote that ends in the word ""it"": When one door closes, another door opens. or God never closes one door without opening","[' another.', ' it.']",1
"Write a quote that ends in the word ""proceed"": When in doubt,","[' proceed.', "" don't.""]",0
"Write a quote that ends in the word ""so"": When in doubt, do","[' nothing.', ' so.']",1
"Write a quote that ends in the word ""alone"": When in doubt, leave it","[' out.', ' alone.']",1
"Write a quote that ends in the word ""fast"": Dreams go by","[' fast.', ' contraries.']",0
"Write a quote that ends in the word ""strength"": Constant dropping wears away the","[' strength.', ' stone.']",0
"Write a quote that ends in the word ""man"": Once a drunkard always a","[' drunkard.', ' man.']",1
"Write a quote that ends in the word ""goose"": If it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a","[' duck.', ' goose.']",1
"Write a quote that ends in the word ""city"": Dwarf on a giant's shoulder sees farther of the","[' two.', ' city.']",1
"Write a quote that ends in the word ""next"": In at one ear and out at the","[' next.', ' other.']",0
"Write a quote that ends in the word ""fallen"": Take heed what you say. Walls have","[' fallen.', ' ears.']",0
"Write a quote that ends in the word ""happy"": Early to bed and early to rise, makes a man healthy, wealthy and","[' wise.', ' happy.']",1
"Write a quote that ends in the word ""did"": Easier said than","[' done.', ' did.']",1
"Write a quote that ends in the word ""fact"": It's easy to be wise after the","[' fact.', ' event.']",0
"Write a quote that ends in the word ""cooking"": Good eating deserves good","[' cooking.', ' drinking.']",0
"Write a quote that ends in the word ""go"": You don't shit where you","[' go.', ' eat.']",0
"Write a quote that ends in the word ""it"": Eavesdroppers hear no good of","[' it.', ' themselves.']",0
"Write a quote that ends in the word ""knowledge"": Education: that which discloses to the wise and disguises from the foolish their lack of","[' knowledge.', ' understanding.']",0
"Write a quote that ends in the word ""today"": Better an egg today than a hen","[' tomorrow.', ' today.']",1
"Write a quote that ends in the word ""bowl"": Don't put all your eggs in one","[' bowl.', ' basket.']",0
"Write a quote that ends in the word ""exchanged"": Eggs and oaths are soon","[' exchanged.', ' broken.']",0
"Write a quote that ends in the word ""egg"": He that steals an egg will steal an","[' ox.', ' egg.']",1
"Write a quote that ends in the word ""rules"": You can't have an omelette unless you break the","[' rules.', ' egg.']",0
"Write a quote that ends in the word ""others"": Egotist: a person of low taste, more interested in himself than in","[' others.', ' me.']",0
"Write a quote that ends in the word ""noise"": Empty vessels make the greatest","[' noise.', ' sound.']",0
"Write a quote that ends in the word ""today"": All's well that ends","[' well.', ' today.']",1
"Write a quote that ends in the word ""consequences"": Whatever you do, act wisely, and consider the","[' end.', ' consequences.']",1
"Write a quote that ends in the word ""few"": Do not think that one enemy is insignificant, or that a thousand friends are too","[' few.', ' many.']",0
"Write a quote that ends in the word ""enemy"": The enemy of my enemy is my","[' enemy.', ' friend.']",0
"Write a quote that ends in the word ""us"": If you have no enemies it is a sign that fortune has forgotten","[' you.', ' us.']",1
"Write a quote that ends in the word ""girl"": There is no little","[' enemy.', ' girl.']",1
"Write a quote that ends in the word ""ourselves"": We carry our greatest enemies within","[' ourselves.', ' us.']",0
"Write a quote that ends in the word ""Life"": Energy is Eternal","[' Life.', ' Delight.']",0
"Write a quote that ends in the word ""theatre"": Eternity is in love with the productions of","[' theatre.', ' time.']",0
"Write a quote that ends in the word ""color"": Every cloud has a silver","[' color.', ' lining.']",0
"Write a quote that ends in the word ""matter"": Every maybe hath a may not","[' be.', ' matter.']",1
"Write a quote that ends in the word ""petals"": Every rose has its","[' thorn.', ' petals.']",1
"Write a quote that ends in the word ""them"": Everyone talks about the weather, but nobody does anything about","[' them.', ' it.']",0
"Write a quote that ends in the word ""right"": What everybody says must be","[' true.', ' right.']",1
"Write a quote that ends in the word ""harm"": Avoid evil and it will avoid","[' thee.', ' harm.']",1
"Write a quote that ends in the word ""good"": Evil begets","[' good.', ' evil.']",0
"Write a quote that ends in the word ""first"": Of two evils choose the","[' first.', ' least.']",0
"Write a quote that ends in the word ""spirit"": Sufficient unto the day is the evil","[' thereof.', ' spirit.']",1
"Write a quote that ends in the word ""example"": Example is better than","[' example.', ' correction.']",0
"Write a quote that ends in the word ""opposite"": The exception proves the","[' opposite.', ' rule.']",0
"Write a quote that ends in the word ""confidence"": All experience is an arch, to build","[' confidence.', ' upon.']",0
"Write a quote that ends in the word ""nature"": Experience is a revelation in the light of which we renounce our errors of youth for those of","[' nature.', ' age.']",0
"Write a quote that ends in the word ""thing"": Experience is the best","[' teacher.', ' thing.']",1
"Write a quote that ends in the word ""thinks"": The eye looks but it is the mind that","[' sees.', ' thinks.']",1
"Write a quote that ends in the word ""hair"": Don't cut off your nose to spite your","[' hair.', ' face.']",0
"Write a quote that ends in the word ""bitch"": Fair play's a","[' bitch.', ' jewel.']",0
"Write a quote that ends in the word ""come"": Common fame is seldom to","[' come.', ' blame.']",0
"Write a quote that ends in the word ""ready"": Don't fall before you're","[' ready.', ' pushed.']",0
"Write a quote that ends in the word ""rise"": Our greatest glory is not in never falling but in rising every time we","[' rise.', ' fall.']",0
"Write a quote that ends in the word ""way"": Accidents will happen in the best","[' families.', ' way.']",1
"Write a quote that ends in the word ""hand"": Far from eye, far from","[' hand.', ' heart.']",0
"Write a quote that ends in the word ""mock"": Fashion: a despot whom the wise ridicule and","[' mock.', ' obey.']",0
"Write a quote that ends in the word ""stomach"": The fat is in the","[' fire.', ' stomach.']",1
"Write a quote that ends in the word ""concerned"": Faults are thick where love is","[' concerned.', ' thin.']",0
"Write a quote that ends in the word ""ourselves"": We have nothing to fear but fear","[' ourselves.', ' itself.']",0
"Write a quote that ends in the word ""hands"": It is better to die on one's feet than live on one's","[' hands.', ' knees.']",0
"Write a quote that ends in the word ""horses"": Good fences make good","[' neighbors.', ' horses.']",1
"Write a quote that ends in the word ""go"": First come, first","[' served.', ' go.']",1
"Write a quote that ends in the word ""healthy"": The first step to health is to know that we are","[' healthy.', ' sick.']",0
"Write a quote that ends in the word ""First"": First things","[' first.', ' First.']",1
"Write a quote that ends in the word ""harder"": If at first you don't succeed, try, try","[' again.', ' harder.']",1
"Write a quote that ends in the word ""second"": The last will be first, and the first","[' second.', ' last.']",0
"Write a quote that ends in the word ""for"": Love is not finding someone to live with; it's finding someone whom you can't live","[' without.', ' for.']",1
"Write a quote that ends in the word ""seek"": Seek and ye shall","[' seek.', ' find.']",0
"Write a quote that ends in the word ""go"": You always find something in the last place you","[' look.', ' go.']",1
"Write a quote that ends in the word ""flames"": A burnt child dreads the","[' flames.', ' fire.']",0
"Write a quote that ends in the word ""mixture"": Do not add oil to the","[' fire.', ' mixture.']",1
"Write a quote that ends in the word ""flames"": Fight fire with","[' fire.', ' flames.']",1
"Write a quote that ends in the word ""fuel"": No fire without some","[' smoke.', ' fuel.']",1
"Write a quote that ends in the word ""smoke"": There is no smoke without","[' fire.', ' smoke.']",1
"Write a quote that ends in the word ""sea"": All is fish that comes to the","[' net.', ' sea.']",1
"Write a quote that ends in the word ""day"": Give a man a fish and you feed him for a day. Teach a man to fish and you feed him for a","[' lifetime.', ' day.']",1
"Write a quote that ends in the word ""there"": There are as good fish in the sea as ever were","[' caught.', ' there.']",1
"Write a quote that ends in the word ""yourself"": If you got it, flaunt","[' yourself.', ' it.']",0
"Write a quote that ends in the word ""impulse"": Go with the","[' impulse.', ' flow.']",0
"Write a quote that ends in the word ""me"": Say it with","[' me.', ' flowers.']",0
